Date : 2019-11-10 18:11:59
Directory : d:\Unity\Project\Shooting Game
Total : 229 files,  25078 codes, 1498 comments, 3867 blanks, all 30443 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Assets\Scripts\Items                                                                                                                      |          6 |        233 |          1 |         52 |        286 |
| Assets\Asset Stores\Explosions\WarFX\Editor                                                                                               |          1 |        163 |          5 |         26 |        194 |
| Assets\Asset Stores\Explosions\WarFX\Scripts                                                                                              |          4 |        159 |         24 |         36 |        219 |
| Assets\Asset Stores\Explosions\WarFX\Spawn System                                                                                         |          1 |        148 |         46 |         35 |        229 |
| Assets\Terrains\Water                                                                                                                     |          1 |        124 |          9 |         32 |        165 |
| Assets\Asset Stores\ShockWave\Script                                                                                                      |          2 |        117 |         27 |         57 |        201 |
| Assets\Asset Stores\ShockWave                                                                                                             |          2 |        117 |         27 |         57 |        201 |
| Packages                                                                                                                                  |          1 |         41 |          0 |          1 |         42 |
| Logs                                                                                                                                      |          1 |         41 |          0 |          4 |         45 |
| Assets\Scripts\Unused                                                                                                                     |          1 |         12 |          1 |          3 |         16 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .gitattributes                                                                                                                            | Properties |         12 |          3 |          3 |         18 |
| Assembly-CSharp-Editor-firstpass.csproj                                                                                                   | XML        |        664 |          7 |          1 |        672 |
| Assembly-CSharp-Editor.csproj                                                                                                             | XML        |        669 |          7 |          1 |        677 |
| Assembly-CSharp.csproj                                                                                                                    | XML        |        852 |          7 |          1 |        860 |
| Assets\Asset Stores\Explosions\Cartoon FX Easy Editor\Editor\CFXEasyEditor.cs                                                             | C#         |      1,259 |        115 |        222 |      1,596 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\CFX_AutoStopLoopedEffect.cs                                                              | C#         |         30 |          3 |          6 |         39 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\CFX_Demo_RandomDir.cs                                                                    | C#         |         11 |          0 |          4 |         15 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\CFX_Demo_RotateCamera.cs                                                                 | C#         |         13 |          0 |          4 |         17 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\CFX_Demo_Translate.cs                                                                    | C#         |         20 |          1 |          5 |         26 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\WFX_Demo.cs                                                                              | C#         |        268 |         21 |         58 |        347 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\WFX_Demo_DeleteAfterDelay.cs                                                             | C#         |         12 |          0 |          3 |         15 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\WFX_Demo_New.cs                                                                          | C#         |        312 |         18 |         55 |        385 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\WFX_Demo_RandomDir.cs                                                                    | C#         |         11 |          0 |          3 |         14 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets\WFX_Demo_Wall.cs                                                                         | C#         |         18 |          5 |          4 |         27 |
| Assets\Asset Stores\Explosions\WarFX\Editor\CFX_SpawnSystemEditor.cs                                                                      | C#         |        163 |          5 |         26 |        194 |
| Assets\Asset Stores\Explosions\WarFX\Scripts\CFX_AutoDestructShuriken.cs                                                                  | C#         |         32 |          0 |          4 |         36 |
| Assets\Asset Stores\Explosions\WarFX\Scripts\CFX_LightIntensityFade.cs                                                                    | C#         |         45 |          7 |         14 |         66 |
| Assets\Asset Stores\Explosions\WarFX\Scripts\WFX_BulletHoleDecal.cs                                                                       | C#         |         55 |         12 |         11 |         78 |
| Assets\Asset Stores\Explosions\WarFX\Scripts\WFX_LightFlicker.cs                                                                          | C#         |         27 |          5 |          7 |         39 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Add Scroll.shader                                                                      | ShaderLab  |         98 |          5 |         16 |        119 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Alpha-Diffuse TintColor.shader                                                         | ShaderLab  |         31 |          2 |          8 |         41 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Alpha-Specular TintColor.shader                                                        | ShaderLab  |         36 |          2 |          8 |         46 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S AlphaBlend NoSoftParticles.shader                                                      | ShaderLab  |         60 |          2 |         11 |         73 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S AlphaBlend Scroll.shader                                                               | ShaderLab  |         80 |          4 |         14 |         98 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Multiply Soft Scroll.shader                                                            | ShaderLab  |         56 |          5 |         12 |         73 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Multiply Soft.shader                                                                   | ShaderLab  |         53 |          7 |         11 |         71 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Particle Add A8.shader                                                                 | ShaderLab  |         86 |          5 |         16 |        107 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Particle AddSoft A8.shader                                                             | ShaderLab  |         86 |          5 |         16 |        107 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Particle Multiply A8.shader                                                            | ShaderLab  |         87 |          5 |         16 |        108 |
| Assets\Asset Stores\Explosions\WarFX\Shaders\WFX_S Smoke Scroll.shader                                                                    | ShaderLab  |         58 |          5 |         12 |         75 |
| Assets\Asset Stores\Explosions\WarFX\Spawn System\CFX_SpawnSystem.cs                                                                      | C#         |        148 |         46 |         35 |        229 |
| Assets\Asset Stores\ScifiRTSSeriesMegaPackII\Scripts\CombineChildren.cs                                                                   | C#         |         63 |         14 |         10 |         87 |
| Assets\Asset Stores\ScifiRTSSeriesMegaPackII\Scripts\MeshCombineUtility.cs                                                                | C#         |        197 |          2 |         26 |        225 |
| Assets\Asset Stores\ShockWave\Script\NextPrefab.cs                                                                                        | C#         |         67 |         26 |         39 |        132 |
| Assets\Asset Stores\ShockWave\Script\UserCamera.cs                                                                                        | C#         |         50 |          1 |         18 |         69 |
| Assets\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs                                                                                    | C#         |         98 |         80 |         25 |        203 |
| Assets\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs                                                                                  | C#         |        137 |         60 |         20 |        217 |
| Assets\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs                                                                                | C#         |         69 |         26 |         13 |        108 |
| Assets\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs                                                                                   | C#         |         62 |         17 |         14 |         93 |
| Assets\Demigiant\DOTween\Modules\DOTweenModuleUI.cs                                                                                       | C#         |        355 |        185 |         65 |        605 |
| Assets\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs                                                                             | C#         |        208 |         62 |         30 |        300 |
| Assets\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs                                                                                    | C#         |        111 |         27 |         18 |        156 |
| Assets\Plugins\AssetUsageDetector\Editor\AssetUsageDetector.cs                                                                            | C#         |        985 |         86 |        207 |      1,278 |
| Assets\Plugins\AssetUsageDetector\Editor\AssetUsageDetectorWindow.cs                                                                      | C#         |        459 |         21 |        158 |        638 |
| Assets\Plugins\AssetUsageDetector\Editor\Enumerators.cs                                                                                   | C#         |         84 |          2 |         20 |        106 |
| Assets\Plugins\AssetUsageDetector\Editor\ObjectToSearch.cs                                                                                | C#         |        108 |          6 |         19 |        133 |
| Assets\Plugins\AssetUsageDetector\Editor\SearchResult.cs                                                                                  | C#         |        595 |         40 |        134 |        769 |
| Assets\Plugins\AssetUsageDetector\Editor\Utilities.cs                                                                                     | C#         |        271 |         38 |         59 |        368 |
| Assets\Plugins\AssetUsageDetector\Editor\VariableGetter.cs                                                                                | C#         |         54 |          6 |          9 |         69 |
| Assets\Scripts\Abstract Class\Enemy.cs                                                                                                    | C#         |        679 |         10 |        115 |        804 |
| Assets\Scripts\Abstract Class\GameUI.cs                                                                                                   | C#         |        114 |          1 |         20 |        135 |
| Assets\Scripts\Abstract Class\PlayerControllerManager.cs                                                                                  | C#         |         10 |          0 |          2 |         12 |
| Assets\Scripts\Abstract Class\PlayerDamageUnit.cs                                                                                         | C#         |         74 |          1 |         18 |         93 |
| Assets\Scripts\Abstract Class\PlayerLaserShooterManager.cs                                                                                | C#         |         22 |          1 |          6 |         29 |
| Assets\Scripts\Abstract Class\PlayerPreviewManager.cs                                                                                     | C#         |         28 |          0 |          9 |         37 |
| Assets\Scripts\Abstract Class\PlayerShooterManager.cs                                                                                     | C#         |        208 |          1 |         22 |        231 |
| Assets\Scripts\Abstract Class\StageManager.cs                                                                                             | C#         |        173 |         24 |         36 |        233 |
| Assets\Scripts\CameraBoundary.cs                                                                                                          | C#         |         39 |          1 |          5 |         45 |
| Assets\Scripts\CameraOuterBoundary.cs                                                                                                     | C#         |         35 |          1 |          6 |         42 |
| Assets\Scripts\DebrisEffect.cs                                                                                                            | C#         |         85 |          0 |         18 |        103 |
| Assets\Scripts\Enemies\Boss\EnemyBoss1.cs                                                                                                 | C#         |        316 |          0 |         56 |        372 |
| Assets\Scripts\Enemies\Boss\EnemyBoss1Part.cs                                                                                             | C#         |         31 |          0 |          8 |         39 |
| Assets\Scripts\Enemies\Boss\EnemyBoss1Turret0.cs                                                                                          | C#         |         84 |          0 |         10 |         94 |
| Assets\Scripts\Enemies\Boss\EnemyBoss1Turret1.cs                                                                                          | C#         |        152 |          0 |         13 |        165 |
| Assets\Scripts\Enemies\Boss\EnemyBoss1Turret2.cs                                                                                          | C#         |         74 |          0 |         11 |         85 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2.cs                                                                                                 | C#         |        274 |          0 |         41 |        315 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Part.cs                                                                                             | C#         |         18 |          0 |          5 |         23 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret0_0.cs                                                                                        | C#         |         98 |          0 |         11 |        109 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret0_1.cs                                                                                        | C#         |        176 |          0 |         16 |        192 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret1_0.cs                                                                                        | C#         |         84 |          0 |         10 |         94 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret1_1.cs                                                                                        | C#         |         65 |          0 |         11 |         76 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret1_2.cs                                                                                        | C#         |         87 |          0 |         10 |         97 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret2_0.cs                                                                                        | C#         |        111 |          0 |         14 |        125 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret2_1.cs                                                                                        | C#         |         48 |          0 |          8 |         56 |
| Assets\Scripts\Enemies\Boss\EnemyBoss2Turret2_2.cs                                                                                        | C#         |         30 |          0 |          5 |         35 |
| Assets\Scripts\Enemies\Boss\EnemyBoss3.cs                                                                                                 | C#         |        545 |          4 |         75 |        624 |
| Assets\Scripts\Enemies\Boss\EnemyBoss3Barrel.cs                                                                                           | C#         |         18 |          0 |          5 |         23 |
| Assets\Scripts\Enemies\Boss\EnemyBoss3Part.cs                                                                                             | C#         |         12 |          0 |          3 |         15 |
| Assets\Scripts\Enemies\Boss\EnemyBoss3Turret.cs                                                                                           | C#         |        103 |          0 |         14 |        117 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss1.cs                                                                                           | C#         |        215 |          0 |         26 |        241 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss1Turret.cs                                                                                     | C#         |        109 |          0 |         12 |        121 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss2.cs                                                                                           | C#         |        214 |          0 |         28 |        242 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss2Turret0.cs                                                                                    | C#         |         87 |          0 |         11 |         98 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss2Turret1.cs                                                                                    | C#         |         58 |          0 |          9 |         67 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss3.cs                                                                                           | C#         |        310 |          0 |         49 |        359 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss5b.cs                                                                                          | C#         |        200 |          0 |         23 |        223 |
| Assets\Scripts\Enemies\Boss\EnemyMiddleBoss5bTurret.cs                                                                                    | C#         |         63 |          0 |         12 |         75 |
| Assets\Scripts\Enemies\EnemyBullet.cs                                                                                                     | C#         |        165 |         14 |         28 |        207 |
| Assets\Scripts\Enemies\EnemyGunship.cs                                                                                                    | C#         |         65 |          0 |         11 |         76 |
| Assets\Scripts\Enemies\EnemyHelicopter.cs                                                                                                 | C#         |         47 |          0 |         13 |         60 |
| Assets\Scripts\Enemies\EnemyItemHeli.cs                                                                                                   | C#         |         66 |          2 |         18 |         86 |
| Assets\Scripts\Enemies\EnemyPlaneLarge1.cs                                                                                                | C#         |        198 |          0 |         23 |        221 |
| Assets\Scripts\Enemies\EnemyPlaneLarge1Turret.cs                                                                                          | C#         |         53 |          0 |         10 |         63 |
| Assets\Scripts\Enemies\EnemyPlaneLarge2.cs                                                                                                | C#         |         70 |          0 |         10 |         80 |
| Assets\Scripts\Enemies\EnemyPlaneLarge2Turret0.cs                                                                                         | C#         |         32 |          0 |          5 |         37 |
| Assets\Scripts\Enemies\EnemyPlaneLarge2Turret2.cs                                                                                         | C#         |         50 |          0 |          7 |         57 |
| Assets\Scripts\Enemies\EnemyPlaneLarge3.cs                                                                                                | C#         |         78 |          0 |         15 |         93 |
| Assets\Scripts\Enemies\EnemyPlaneLarge3Turret.cs                                                                                          | C#         |         49 |          0 |          7 |         56 |
| Assets\Scripts\Enemies\EnemyPlaneMedium1.cs                                                                                               | C#         |        121 |          0 |         16 |        137 |
| Assets\Scripts\Enemies\EnemyPlaneMedium2.cs                                                                                               | C#         |        113 |          0 |         19 |        132 |
| Assets\Scripts\Enemies\EnemyPlaneMedium3.cs                                                                                               | C#         |         66 |          0 |         12 |         78 |
| Assets\Scripts\Enemies\EnemyPlaneMedium3Turret.cs                                                                                         | C#         |         50 |          0 |          7 |         57 |
| Assets\Scripts\Enemies\EnemyPlaneMedium4.cs                                                                                               | C#         |         69 |          0 |         14 |         83 |
| Assets\Scripts\Enemies\EnemyPlaneMedium4Turret.cs                                                                                         | C#         |         66 |          0 |         10 |         76 |
| Assets\Scripts\Enemies\EnemyPlaneMedium5.cs                                                                                               | C#         |         55 |          0 |         17 |         72 |
| Assets\Scripts\Enemies\EnemyPlaneMedium5Turret1.cs                                                                                        | C#         |         53 |          0 |          7 |         60 |
| Assets\Scripts\Enemies\EnemyPlaneMedium5Turret2.cs                                                                                        | C#         |         61 |          0 |          8 |         69 |
| Assets\Scripts\Enemies\EnemyPlaneSmall1.cs                                                                                                | C#         |         50 |          0 |         15 |         65 |
| Assets\Scripts\Enemies\EnemyPlaneSmall2.cs                                                                                                | C#         |         54 |          0 |         14 |         68 |
| Assets\Scripts\Enemies\EnemyPlaneSmall3.cs                                                                                                | C#         |         70 |          0 |         18 |         88 |
| Assets\Scripts\Enemies\EnemyShipCarrier.cs                                                                                                | C#         |        144 |          0 |         24 |        168 |
| Assets\Scripts\Enemies\EnemyShipCarrierCargo.cs                                                                                           | C#         |         11 |          0 |          2 |         13 |
| Assets\Scripts\Enemies\EnemyShipLarge.cs                                                                                                  | C#         |         58 |          0 |         11 |         69 |
| Assets\Scripts\Enemies\EnemyShipLargeTurret1.cs                                                                                           | C#         |         49 |          0 |          8 |         57 |
| Assets\Scripts\Enemies\EnemyShipLargeTurret2.cs                                                                                           | C#         |         40 |          0 |          8 |         48 |
| Assets\Scripts\Enemies\EnemyShipLargeTurret3.cs                                                                                           | C#         |         36 |          0 |         10 |         46 |
| Assets\Scripts\Enemies\EnemyShipMedium1.cs                                                                                                | C#         |         59 |          0 |         11 |         70 |
| Assets\Scripts\Enemies\EnemyShipSmall1.cs                                                                                                 | C#         |         11 |          0 |          2 |         13 |
| Assets\Scripts\Enemies\EnemyShipSmall1Turret.cs                                                                                           | C#         |         28 |          0 |          6 |         34 |
| Assets\Scripts\Enemies\EnemyShipSmall2.cs                                                                                                 | C#         |         11 |          0 |          2 |         13 |
| Assets\Scripts\Enemies\EnemyShipSmall2Turret.cs                                                                                           | C#         |         30 |          0 |          7 |         37 |
| Assets\Scripts\Enemies\EnemyTank.cs                                                                                                       | C#         |         11 |          0 |          2 |         13 |
| Assets\Scripts\Enemies\EnemyTankLarge1.cs                                                                                                 | C#         |         85 |          0 |         11 |         96 |
| Assets\Scripts\Enemies\EnemyTankLarge1Turret1.cs                                                                                          | C#         |        160 |          0 |         12 |        172 |
| Assets\Scripts\Enemies\EnemyTankLarge1Turret2.cs                                                                                          | C#         |         13 |          0 |          3 |         16 |
| Assets\Scripts\Enemies\EnemyTankLarge2.cs                                                                                                 | C#         |         61 |          0 |          9 |         70 |
| Assets\Scripts\Enemies\EnemyTankLarge2Turret.cs                                                                                           | C#         |         69 |          0 |          6 |         75 |
| Assets\Scripts\Enemies\EnemyTankLarge3.cs                                                                                                 | C#         |         42 |          0 |          8 |         50 |
| Assets\Scripts\Enemies\EnemyTankLarge3Turret.cs                                                                                           | C#         |         80 |          0 |          6 |         86 |
| Assets\Scripts\Enemies\EnemyTankMedium1Turret.cs                                                                                          | C#         |         62 |          0 |          9 |         71 |
| Assets\Scripts\Enemies\EnemyTankMedium2.cs                                                                                                | C#         |         78 |          0 |         11 |         89 |
| Assets\Scripts\Enemies\EnemyTankMedium3.cs                                                                                                | C#         |         35 |          0 |          8 |         43 |
| Assets\Scripts\Enemies\EnemyTankSmall1Turret.cs                                                                                           | C#         |         31 |          0 |          8 |         39 |
| Assets\Scripts\Enemies\EnemyTankSmall2Turret.cs                                                                                           | C#         |         46 |          0 |          8 |         54 |
| Assets\Scripts\Enemies\EnemyTankSmall3Turret.cs                                                                                           | C#         |         48 |          0 |          6 |         54 |
| Assets\Scripts\Enemies\EnemyTurret1.cs                                                                                                    | C#         |         16 |          0 |          4 |         20 |
| Assets\Scripts\Enemies\EnemyTurret1Turret.cs                                                                                              | C#         |         48 |          0 |          8 |         56 |
| Assets\Scripts\Enemies\EnemyTurret2.cs                                                                                                    | C#         |          6 |          0 |          2 |          8 |
| Assets\Scripts\Enemies\EnemyTurret2Turret.cs                                                                                              | C#         |         36 |          0 |         10 |         46 |
| Assets\Scripts\Enemies\EnemyTurret3.cs                                                                                                    | C#         |          6 |          0 |          2 |          8 |
| Assets\Scripts\Enemies\EnemyTurret3Turret.cs                                                                                              | C#         |         53 |          0 |         10 |         63 |
| Assets\Scripts\Enemies\GroundEnemySpawner.cs                                                                                              | C#         |         65 |          0 |         10 |         75 |
| Assets\Scripts\ExplosionEffect.cs                                                                                                         | C#         |         44 |          0 |         10 |         54 |
| Assets\Scripts\GameOuterBoundary.cs                                                                                                       | C#         |         69 |          1 |         10 |         80 |
| Assets\Scripts\HitEffect.cs                                                                                                               | C#         |         40 |          2 |         10 |         52 |
| Assets\Scripts\Items\Item.cs                                                                                                              | C#         |        151 |          0 |         33 |        184 |
| Assets\Scripts\Items\ItemBomb.cs                                                                                                          | C#         |         11 |          0 |          2 |         13 |
| Assets\Scripts\Items\ItemGemAir.cs                                                                                                        | C#         |         42 |          0 |         10 |         52 |
| Assets\Scripts\Items\ItemGemGround.cs                                                                                                     | C#         |          8 |          0 |          3 |         11 |
| Assets\Scripts\Items\ItemLife.cs                                                                                                          | C#         |          8 |          1 |          2 |         11 |
| Assets\Scripts\Items\ItemPowerUp.cs                                                                                                       | C#         |         13 |          0 |          2 |         15 |
| Assets\Scripts\MainCamera.cs                                                                                                              | C#         |         52 |          0 |         14 |         66 |
| Assets\Scripts\Managers\ForceCameraRatio.cs                                                                                               | C#         |        206 |         51 |         37 |        294 |
| Assets\Scripts\Managers\GameManager.cs                                                                                                    | C#         |        293 |          0 |         39 |        332 |
| Assets\Scripts\Managers\PauseManager.cs                                                                                                   | C#         |         56 |          0 |          9 |         65 |
| Assets\Scripts\Managers\PlayerLaserManager.cs                                                                                             | C#         |         10 |          0 |          4 |         14 |
| Assets\Scripts\Managers\PlayerManager.cs                                                                                                  | C#         |        116 |          0 |         29 |        145 |
| Assets\Scripts\Managers\PoolingManager.cs                                                                                                 | C#         |        144 |          8 |         35 |        187 |
| Assets\Scripts\Managers\ReplayManager.cs                                                                                                  | C#         |        188 |          3 |         29 |        220 |
| Assets\Scripts\Managers\SoundManager.cs                                                                                                   | C#         |         21 |          0 |          5 |         26 |
| Assets\Scripts\Managers\Stage1Manager.cs                                                                                                  | C#         |        148 |          0 |         11 |        159 |
| Assets\Scripts\Managers\Stage2Manager.cs                                                                                                  | C#         |        181 |          0 |         16 |        197 |
| Assets\Scripts\Managers\Stage3Manager.cs                                                                                                  | C#         |        159 |          2 |         13 |        174 |
| Assets\Scripts\Managers\SystemManager.cs                                                                                                  | C#         |        349 |          4 |         65 |        418 |
| Assets\Scripts\Player\PlayerAddShot.cs                                                                                                    | C#         |         14 |          0 |          3 |         17 |
| Assets\Scripts\Player\PlayerBomb.cs                                                                                                       | C#         |         55 |          0 |         13 |         68 |
| Assets\Scripts\Player\PlayerBombDamage.cs                                                                                                 | C#         |         37 |          0 |          8 |         45 |
| Assets\Scripts\Player\PlayerColors.cs                                                                                                     | C#         |          7 |          0 |          2 |          9 |
| Assets\Scripts\Player\PlayerController.cs                                                                                                 | C#         |        199 |          0 |         32 |        231 |
| Assets\Scripts\Player\PlayerDrone.cs                                                                                                      | C#         |         73 |          0 |         13 |         86 |
| Assets\Scripts\Player\PlayerDroneRotator.cs                                                                                               | C#         |         14 |          0 |          4 |         18 |
| Assets\Scripts\Player\PlayerHomingMissile.cs                                                                                              | C#         |         60 |          6 |         14 |         80 |
| Assets\Scripts\Player\PlayerLaser.cs                                                                                                      | C#         |         35 |          0 |          7 |         42 |
| Assets\Scripts\Player\PlayerLaserAura.cs                                                                                                  | C#         |         32 |          0 |          7 |         39 |
| Assets\Scripts\Player\PlayerLaserCreater.cs                                                                                               | C#         |        123 |          3 |         30 |        156 |
| Assets\Scripts\Player\PlayerLaserShooter.cs                                                                                               | C#         |         50 |          0 |          9 |         59 |
| Assets\Scripts\Player\PlayerRocket.cs                                                                                                     | C#         |         22 |          0 |          6 |         28 |
| Assets\Scripts\Player\PlayerShield.cs                                                                                                     | C#         |         51 |          0 |          8 |         59 |
| Assets\Scripts\Player\PlayerShooter.cs                                                                                                    | C#         |        233 |          4 |         33 |        270 |
| Assets\Scripts\Player\PlayerShot.cs                                                                                                       | C#         |         14 |          0 |          3 |         17 |
| Assets\Scripts\Player\PlayerShotSpawner.cs                                                                                                | C#         |         10 |          0 |          2 |         12 |
| Assets\Scripts\Player\PlayerStart.cs                                                                                                      | C#         |         69 |          2 |         17 |         88 |
| Assets\Scripts\Preview\PlayerPreview1.cs                                                                                                  | C#         |         24 |          1 |          5 |         30 |
